projectNumber,productionStartDate,endDate,teamNumber,totalHours
804813,,5/9/2025,,803
804884,,5/10/2025,,1189
804507,,5/12/2025,2,4972
804666,,5/12/2025,1,3116
804653,,5/16/2025,4,4774
804815,,5/16/2025,,803
804731,,5/19/2025,1,4517
805387,,5/19/2025,,259
804814,,5/26/2025,,803
804287,,5/26/2025,6,10500
804816,,5/26/2025,,803
804907,,5/28/2025,,1722
804503,,5/30/2025,5,4032
805268,,5/30/2025,,
804484,,5/30/2025,5,3213
804018,,6/2/2025,3,2788
805343,,6/2/2025,3,2788
804916,,6/3/2025,,889
804654,,6/12/2025,4,4774
804928,,6/12/2025,2,3832
805206,,6/16/2025,5,3078
800582,,6/16/2025,,
804545,,6/16/2025,6,3078
804862,,6/16/2025,1,1450
806503,5/19/2025,6/23/2025,,727
805214,,6/23/2025,1,1450
805344,,6/23/2025,3,2788
805345,,6/23/2025,3,2788
804655,,6/23/2025,4,4774
804621,,6/26/2025,6,2112
804542,,6/27/2025,,
804817,,6/30/2025,,1008
804819,,6/30/2025,,1008
804818,,6/30/2025,,1008
804821,,6/30/2025,,1008
804820,,6/30/2025,,1008
804822,,6/30/2025,,1008
805040,,6/30/2025,,1134
804450,4/28/2025,7/2/2025,6,1881
805304,,7/7/2025,2,1897
805319,6/16/2025,7/14/2025,2,1967
803913,,7/23/2025,,
806504,6/16/2025,8/4/2025,,727
805184,6/23/2025,8/11/2025,2,1967
805207,6/2/2025,8/18/2025,6,3078
805203,6/16/2025,8/18/2025,1,1450
804540,5/27/2025,8/22/2025,,
804541,5/27/2025,8/22/2025,,
805201,6/30/2025,9/1/2025,,6107
804772,6/16/2025,9/1/2025,,2215
805673,6/23/2025,9/8/2025,,2184
804874,6/9/2025,9/8/2025,4,1955
805049,6/1/2025,9/15/2025,5,2887
804347,6/2/2025,9/22/2025,6,4699
805297,6/21/2025,9/22/2025,,6107
805674,7/7/2025,9/22/2025,,
804656,4/21/2025,9/22/2025,4,4774
804893,6/16/2025,9/22/2025,3,4322
805306,8/11/2025,10/13/2025,1,1450
804273,5/26/2025,10/13/2025,5,4653
805253,8/11/2025,10/13/2025,2,1722
805198,6/9/2025,10/20/2025,3,4114
805336,7/7/2025,10/27/2025,6,4699
805347,5/19/2025,10/27/2025,,
805348,5/19/2025,10/27/2025,,
805349,5/19/2025,10/27/2025,,
805132,,11/3/2025,,1976
805120,8/11/2025,11/3/2025,,2897
805287,4/30/2025,11/10/2025,,1976
805288,5/7/2025,11/17/2025,,1976
804886,6/9/2025,11/17/2025,1,4383
805326,9/1/2025,11/24/2025,5,1740
805197,8/25/2025,11/24/2025,5,2763
804264,9/15/2025,11/24/2025,,2085
805355,,11/24/2025,,415
805289,5/12/2025,12/1/2025,,1976
804881,7/14/2025,12/1/2025,,2968
805577,10/20/2025,12/1/2025,,415
805290,5/26/2025,12/8/2025,,1976
805307,10/6/2025,12/8/2025,1,1450
805067,8/11/2025,12/8/2025,2,4935
805157,9/14/4103,12/8/2025,,2728
805291,6/30/2025,12/15/2025,,1976
804613,10/6/2025,12/15/2025,3,2118
805143,11/24/2025,12/15/2025,2,21
803267,,12/22/2025,4,5297
804684,,12/22/2025,4,1955
805440,11/10/2025,12/22/2025,5,1289
805581,11/10/2025,12/22/2025,5,1289
805476,9/29/2025,12/22/2025,,2728
805337,9/8/2025,12/29/2025,6,4699
805568,12/8/2025,12/29/2025,2,21
805308,11/3/2025,1/5/2026,1,1450
805477,11/3/2025,1/5/2026,,2728
805351,8/25/2025,1/19/2026,4,4199
805472,12/1/2025,1/19/2026,4,1689
805582,12/8/2025,1/19/2026,5,1289
805567,12/8/2025,1/19/2026,5,1289
805331,9/24/2025,1/28/2026,,2394
805338,10/12/2025,2/2/2026,6,4699
805309,12/1/2025,2/2/2026,1,1450
805153,9/8/2025,2/2/2026,3,4191
805296,9/29/2025,2/9/2026,2,4280
805359,11/11/2025,2/23/2026,,3651
805228,12/8/2025,2/27/2026,,6069
805310,12/29/2025,3/2/2026,1,1450
804391,1/5/2026,3/2/2026,4,1874
805328,12/22/2025,3/2/2026,2,2676
804505,12/1/2025,3/9/2026,3,4521
805186,1/5/2026,3/23/2026,4,3197
805339,12/15/2025,4/6/2026,6,4699
805314,1/26/2026,4/6/2026,1,2083
805279,1/26/2026,4/6/2026,,2184
805357,1/26/2026,4/13/2026,,2184
805292,2/2/2026,4/20/2026,,2184
805128,1/19/2026,4/27/2026,3,4521
804924,1/26/2026,5/2/2026,2,4339
805267,12/29/2025,5/4/2026,,3411
805617,12/29/2025,5/4/2026,,3411
805340,1/18/2026,5/11/2026,6,4699
803944,3/9/2026,6/29/2026,,5493
803932,,,2,
805109,,,,
804487,3/1/2025,2/23/2026,,7125
803533,,,,
804614,,,,
803955,,,,
803956,,,,
804192,,,,
804193,,,,
804194,,,,
804195,,,,
802582-01,,,,
803569,,,,
803570,,,,
803571,,,,
803572,,,,
803574,,,,
803575,,,,
805271,,,,
804844,,,,
802960,,,,
803507,,,,
803544,,,,
803545,,,,
803546,,,,
804205,,,,
805528,,,,
805648,,,,
805529,,,,
805121,,,,
805079,,,,
