Project Number,Project Name,Contract Date (YYYY-MM-DD),Delivery Date (YYYY-MM-DD),Days Late (number),Late Delivery Reason,Delay Responsibility (not_applicable|client_fault|nomad_fault|vendor_fault),Percent Complete,Contract Extensions (number)
803991,803991_NM_RobertsTruckBernalilloCo_IC26As0_02,4/12/2023,9/13/2024,520,Late CSE Chassis Arrival,Client,100,0
803990,803990_NM_RobertsTruckBernalilloCo_IC26As0_01,4/12/2023,7/30/2024,475,Late CSE Chassis Arrival,Client,100,0
804289,804289_MT_LoganHealth_IC24As1_02,7/29/2023,5/13/2024,289,Late Chassis Arrival,Vendor,100,0
803789,803789_MT_LoganHealth_IC24As1_01,7/29/2023,1/26/2024,181,Late Chassis Arrival,Vendor,100,0
804190,804190_GA_Coweta Co_IC34As4,9/12/2023,3/22/2024,192,Sales sold an unavailable chassis with no availability in sight.  Customer was adamant about the original chassis - we jumped through many hoops trying to find something that would meet spec and they would agree upon which proved difficult based on their strongly desired requirement.,Nomad,100,0
804325,804325_VA_ADS_WSMR_MOSS_IC20As1_02,9/26/2023,3/1/2024,157,Late arrival of HVACs,Vendor,100,3
804092,804092_VA_ADS_WSMR_MOSS_IC20As1_01,9/26/2023,2/8/2024,135,Late arrival of HVACs,Vendor,100,3
800024,800024-01_NH_Grafton Co_Upgrades,12/14/2023,3/7/2024,84,Vague requirments during sales resulted in additional definition for build,Nomad,100,0
804376,804376_MD_VA_Mobile Medical_IC20As0_06,12/18/2023,1/20/2024,33,Late Chassis Arrival,Vendor,100,0
803426,803426-01_CA_EdwardsAFB_IC26Reconfig,12/19/2023,6/26/2024,190,Engineering delays,Nomad,100,0
804377,804377_MD_VA_Mobile Medical_IC20As0_07,12/22/2023,2/28/2024,68,Late Chassis Arrival,Vendor,100,0
804589,804589_MT_NomadGCS_TCV Max Demo,12/31/2023,3/18/2024,78,Late arrival of HVACs,Vendor,100,0
804378,804378_MD_VA_Mobile Medical_IC20As0_08,1/22/2024,3/8/2024,46,Late Chassis Arrival,Vendor,100,0
804379,804379_MD_VA_Mobile Medical_IC20As0_09,1/29/2024,4/10/2024,72,Late Chassis Arrival,Vendor,100,0
804205,804205_NV_LVMPD_IC14As0,1/31/2024,2/8/2024,8,Late Chassis Arrival,Vendor,100,0
804237,804237_GA_EPA_IC14As2,2/11/2024,3/27/2024,45,Late Chassis Arrival,Vendor,100,0
804166,804166_MT_LewisClarkSheriffsOffice_IC34As4,2/15/2024,5/21/2024,96,Late Chassis Arrival,Vendor,100,0
804638,804638_ID_MoPoc_Van_13,2/19/2024,2/8/2024,-11,,On Time,100,0
804636,804636_ID_MoPoc_Van_11,2/19/2024,2/8/2024,-11,,On Time,100,0
804637,804637_ID_MoPoc_Van_12,2/19/2024,2/8/2024,-11,,On Time,100,0
804634,804634_ID_MoPoc_Van_09,2/19/2024,2/2/2024,-17,,On Time,100,0
804635,804635_ID_MoPoc_Van_10,2/19/2024,2/2/2024,-17,,On Time,100,0
804380,804380_MD_VA_Mobile Medical_IC20As0_10,2/26/2024,4/17/2024,51,Failed to order AVL on time,Nomad,100,0
804333,804333_DC_EPA_MAM_Sprinter_01,2/29/2024,8/30/2024,183,Third Party Equipment Install,Vendor,100,1
804848,804848_DC_EPA_MAM_Sprinter_03,2/29/2024,8/30/2024,183,Third Party Equipment Install,Vendor,100,1
804847,804847_DC_EPA_MAM_Sprinter_02,2/29/2024,8/2/2024,155,Third Party Equipment Install,Vendor,100,1
804228,804228_MA_MAFireServices_D24As2,3/8/2024,6/3/2024,87,Engineering design issues,Nomad,100,1
804388,804388_MD_FEMA_MCOV_13,3/20/2024,9/30/2024,194,Chassis arrival late & vibration/wheel issues,Vendor,100,2
804404,804404_MD_FEMA_MCOV_14,3/20/2024,8/13/2024,146,Chassis arrival late & vibration/wheel issues,Vendor,100,1
804178,804178_OK_ONEOK_TCVMAX_01,4/1/2024,6/14/2024,74,Client Mod,Client,100,0
804501,804501_OK_ONEOK_TCVMAX_02,4/1/2024,6/14/2024,74,Client Mod,Client,100,0
803749,803749_MT_FlatheadCounty_IC28As2,1/22/2025,6/19/2024,-217,,On Time,100,0
803851,803851-01_NJ_Verizon_TCTHD_Upgrades,4/13/2024,2/1/2024,-72,,On Time,100,0
804283,804283_VA_ADS_GuamSecurity_TCT ,4/29/2024,3/19/2024,-41,,On Time,100,0
804692,804692_FL_PascoCSO_SOV_01,6/30/2024,6/26/2024,-4,,On Time,100,0
804693,804693_FL_PascoCSO_SOV_02,6/30/2024,6/26/2024,-4,,On Time,100,0
804300,804300_CA_YubaCountyProbation_IC26As0,7/25/2024,5/23/2024,-63,,On Time,100,0
804786,804786_WV_FBI_MobileForensicLab_Sprinter_06,8/29/2024,8/29/2024,0,,On Time,100,0
804784,804784_WV_FBI MFL_Sprinter_04,8/29/2024,7/26/2024,-34,,On Time,100,0
804785,804785_WV_FBI MFL_Sprinter_05,8/29/2024,7/26/2024,-34,,On Time,100,0
804433,804433_TX_Rohde&Schwarz_SOV,9/1/2024,8/30/2024,-2,,On Time,100,0
803932,803932_SC_DSIT_TCT-HD,9/24/2024,9/22/2024,-2,,On Time,100,0
804823,804823_DC_ATF_Sprinter_02,9/27/2024,9/6/2024,-21,,On Time,100,0
803946,803946_SC_HorryCountyPD_IC18As0,10/22/2024,9/4/2024,-48,Chassis arrival late & vibration/wheel issues,Vendor,100,0
804703,804703_DC_ATF_Sprinter_01,9/27/2024,8/27/2024,-31,,On Time,100,0
804824,804824_DC_ATF_Sprinter_03,9/27/2024,10/2/2024,5,Nomad electrical error with van lights. Had to send to Spokane for reprogramming,Nomad,100,0
804565,804565_MD_FEMA_MCOV_15,9/29/2024,10/4/2024,5,Chassis arrival late & vibration/wheel issues,Vendor,100,1
804570,804570_MD_FEMA_MCOV_16,9/29/2024,10/22/2024,23,Chassis arrival late & vibration/wheel issues,Vendor,100,1
804106,804106_AL_ADS_USACE_IC34As4_01,1/17/2025,10/22/2024,-87,,On Time,100,0
804826,804826_DC_ATF_Sprinter_05,9/27/2024,10/23/2024,26,Client Mod,Client,100,1
804825,804825_DC_ATF_Sprinter_04,9/27/2024,10/23/2024,26,Client Mod,Client,100,1
804486,804486_TX_TMobile_D22_SatCOW_01,2/6/2024,10/25/2024,262,Under bid project duration (365 ARO),Nomad,100,0
804571,804571_MD_FEMA_MCOV_17,9/29/2024,11/15/2024,47,Chassis arrival late & vibration/wheel issues,Vendor,100,1
804905,804905_ID_MoPOC_Van_17,11/23/2024,11/22/2024,-1,,On Time,100,0
803750,803750_TX_TMobile_SatCOLT_01,2/13/2024,12/3/2024,294,Under bid project duration (365 ARO),Nomad,100,0
